Tissue,sgID,Cell_Line,Mouse_Genotype,Sex,Time_Point,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy
WholeBlood,Mgammu-sg1,rp48,BL6,M,3weeks,0.710109845837671,0.669303046134841,0.704844205153433,,1
WholeBlood,Mgammu-sg3,rp48,BL6,M,3weeks,0.191237150524529,0.120401968943531,0.744114508576305,,1
WholeBlood,Ptenmmu-sg1,rp48,BL6,M,3weeks,1.58616669125822,0.727258412563146,2.19022350776102,,1
WholeBlood,Ptenmmu-sg2,rp48,BL6,M,3weeks,0.666770435835147,0.822041499148536,0.671348321715213,,1
WholeBlood,Runx1t1mmu-sg1,rp48,BL6,M,3weeks,5.62748028933499,0.847342653565828,8.78005818669478,,1
WholeBlood,Trip12mmu-sg1,rp48,BL6,M,3weeks,0.806061187286432,0.732135604881596,0.806434742858263,,1
WholeBlood,Tsc1mmu-sg1,rp48,BL6,M,3weeks,1.1910354350974,0.810828181540134,1.08950851643524,,1
WholeBlood,Tsc1mmu-sg2,rp48,BL6,M,3weeks,2.81394702737779,1.58496179208557,1.22422419309121,,1
WholeBlood,Tsc2mmu-sg2,rp48,BL6,M,3weeks,1.34573216974989,1.2946906306686,0.681809525827712,,1
WholeBlood,Zc3h7ammu-sg1,rp48,BL6,M,3weeks,2.19197602885546,1.46678652227076,1.34202726779139,,1
WholeBlood,Zc3h7ammu-sg3,rp48,BL6,M,3weeks,1.38466366748021,1.56812113990031,0.683664800591061,,1
WholeBlood,Zeb1mmu-sg2,rp48,BL6,M,3weeks,2.96609038537429,0.465994418782746,5.03924789239465,,1
WholeBlood,sgNT2-MMU,rp48,BL6,M,3weeks,1.34818067571391,1.3816969194047,0.799896274774165,,1
WholeBlood,sgSafe28-MMU,rp48,BL6,M,3weeks,1.90038727984613,1.48870612160731,0.881758681427192,,1
WholeBlood,sgSafe33-MMU,rp48,BL6,M,3weeks,0.515769933206087,0.7892949263338,0.626386753085839,,1
WholeBlood,Arpc4mmu-sg2,rp48,BL6,M,3weeks,0.238386844654543,1.33966867648562,0.0833654271325009,,1
WholeBlood,Bag1mmu-sg1,rp48,BL6,M,3weeks,0.409058376435908,0.208239057423761,0.920288930894079,,1
WholeBlood,Cdh6mmu-sg3,rp48,BL6,M,3weeks,0.878510022002935,0.770789973016391,1.31645451755747,,1
WholeBlood,Gabrr1mmu-sg1,rp48,BL6,M,3weeks,0.179206950119899,0.691222559643818,0.145793759934295,,1
WholeBlood,Gata6mmu-sg2,rp48,BL6,M,3weeks,0.745113700450348,0.348183790966215,1.66554140316991,,1
WholeBlood,Setd2mmu-sg2,rp48,BL6,M,3weeks,0.422984375804577,1.35664575258256,0.149312383842964,,1
WholeBlood,Tsc1mmu-sg3,rp48,BL6,M,3weeks,1.59972464321462,1.53934673117374,0.876233029806269,,1
WholeBlood,Zc3h7ammu-sg2,rp48,BL6,M,3weeks,1.22270077895477,0.94670941447983,1.31347214245092,,1
WholeBlood,sgSafe4-MMU,rp48,BL6,M,3weeks,0.322361084481873,0.732843753208639,0.334704642148773,,1
WholeBlood,Brk1mmu-sg2,rp48,BL6,M,3weeks,0.31995698457949,0.416659565709374,0.648731563072409,,1
WholeBlood,Gpatch8mmu-sg2,rp48,BL6,M,3weeks,2.3359614848798,0.640485720970117,3.79051214493334,,1
WholeBlood,Kdm5ammu-sg2,rp48,BL6,M,3weeks,0.537444891935458,1.15612283912057,0.217786550529782,,1
WholeBlood,Trip12mmu-sg3,rp48,BL6,M,3weeks,0.0956107181400433,0.168039220642489,0.266561251682913,,1
WholeBlood,Tsc2mmu-sg3,rp48,BL6,M,3weeks,0.174408334480182,0.927529560830728,0.133413027122969,,1
WholeBlood,Zeb1mmu-sg1,rp48,BL6,M,3weeks,0.164006709489055,0.268797260302204,0.285849788281557,,1
WholeBlood,Zeb1mmu-sg3,rp48,BL6,M,3weeks,0.266293130111801,0.209945735098467,0.594229219721368,,1
WholeBlood,sgSafe30-MMU,rp48,BL6,M,3weeks,0.90430072554228,0.427092181368585,1.46128344411184,,1
WholeBlood,Zfp574mmu-sg1,rp48,BL6,M,3weeks,1.470553135859,1.38949749978768,0.495820009544412,,1
WholeBlood,sgSafe5-MMU,rp48,BL6,M,3weeks,0.138199056291687,0.274307254623834,0.236030910273666,,1
WholeBlood,Actr3mmu-sg1,rp48,BL6,M,3weeks,0.481953934652382,0.395096733166466,0.973536763314445,,1
WholeBlood,Arpc4mmu-sg1,rp48,BL6,M,3weeks,0.409845955272843,0.435758571926125,0.563066059984011,,1
WholeBlood,Bag1mmu-sg3,rp48,BL6,M,3weeks,0.706972419116404,1.38022824129006,0.41617971120157,,1
WholeBlood,Cdh6mmu-sg2,rp48,BL6,M,3weeks,3.08316820958726,1.04518558745414,3.50092434228587,,1
