Mouse_ID,Tissue,sgID,Cell_Line,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy,SizePercentile_50,SizePercentile_20
73200,Liver,Ctnnd1mmu-sg1,rp48,0.925992907,0.760270864,1.262926523,2.553140252,0.988058875,1.11829653,0.907151819
73200,Liver,Ctnnd1mmu-sg2,rp48,0.948248447,0.667084411,1.361209964,2.566342598,0.992186328,1.6829653,1.204516939
73200,Liver,Ctnnd1mmu-sg3,rp48,0.822392103,0.725639815,1.214988486,1.333885137,1.004435542,1.148264984,0.99749059
73200,Liver,Ewsr1mmu-sg1,rp48,1.269254492,1.126427312,1.109901612,1.776672619,1.004435542,1.309148265,1.155583438
73200,Liver,Ewsr1mmu-sg2,rp48,0.506561772,0.596844285,0.76889261,,1.004435542,1.201892744,0.839397742
73200,Liver,Ewsr1mmu-sg3,rp48,0.610732912,0.551921385,1.21770986,,1.004435542,1.113564669,1.033877039
73200,Liver,Gabrr1mmu-sg1,rp48,0.802673556,0.739007936,0.953527318,2.149656245,1.004435542,1.126182965,1.229611041
73200,Liver,Gabrr1mmu-sg2,rp48,0.794158213,0.662155566,1.359430605,1.242760421,1.004435542,1.126182965,1.156838143
73200,Liver,Gabrr1mmu-sg3,rp48,0.627839282,0.650590591,0.875130835,1.304840724,1.004435542,1.041009464,1.248431619
73200,Liver,Gata6mmu-sg1,rp48,1.245448682,0.97925445,1.096085409,1.646421986,0.990086462,1.326498423,1.333751568
73200,Liver,Gata6mmu-sg2,rp48,0.930607075,0.810553763,1.189449445,2.60076441,1.004435542,1.700315457,1.284818068
73200,Liver,Gata6mmu-sg3,rp48,1.015796053,0.837848134,1.27067197,1.112794089,1.004435542,0.94637224,0.855708908
73200,Liver,Gpatch8mmu-sg1,rp48,0.77635835,0.726916944,0.801339753,0.834772862,0.969799833,0.731861199,0.799247177
73200,Liver,Gpatch8mmu-sg2,rp48,0.490567453,0.463872099,0.946200544,1.695302111,1.004435542,1.318611987,1.141781681
73200,Liver,Gpatch8mmu-sg3,rp48,1.064653169,0.680832111,1.556416161,3.770248572,1.004435542,2.075709779,1.531994981
